id,price,sale price,gyarto,modell,evjarat,km ora,uzemenyag,KW,LE,allapot,csomagtarto,kivitel,szemelyek_szama,szin,hengerurtartalom,hajtas,valto tipus,valto szam,valto subtipus,vegyes fogyasztas
22153162,1490000.0,,SUZUKI,SPLASH,2009.17,66300.0,Benzin,48.0,65.0,Megkímélt,178.0,Ferdehátú,5.0,,996.0,Első kerék,Manuális,5.0,,5.0
22151778,1490000.0,,MERCEDES-BENZ,B-OSZTÁLY B 170,2007.67,192000.0,Benzin,85.0,116.0,Kitűnő,458.0,Egyterű,5.0,Ezüst,1699.0,Első kerék,Manuális,5.0,,
22151408,1490000.0,,PEUGEOT,207,2008.5,129000.0,Benzin,88.0,120.0,Kitűnő,405.0,Cabrio,4.0,,1587.0,Első kerék,Manuális,5.0,,6.5
22146646,1490000.0,,SUZUKI,SPLASH,2008.5,175000.0,Benzin,63.0,86.0,Újszerű,178.0,Ferdehátú,5.0,Ezüst (metál),1242.0,Első kerék,Manuális,5.0,,5.5
22141658,1490000.0,,OPEL,ASTRA ASTRA J,2012.0,309000.0,Dízel,121.0,165.0,Megkímélt,,Kombi,,,1956.0,,Manuális,6.0,,5.1
22138962,1490000.0,,SEAT,ALTEA,2007.92,236000.0,Dízel,125.0,170.0,Megkímélt,532.0,Egyterű,5.0,Sötétszürke (metál),1968.0,Összkerék,Manuális,6.0,,6.2
22106978,1490000.0,,SUZUKI,SX4,2008.5,291000.0,Benzin,79.0,107.0,Megkímélt,,Sedan,5.0,Fekete,1596.0,Első kerék,Manuális,5.0,,6.8
22080437,1490000.0,,VOLVO,V50,2005.83,244000.0,Dízel,80.0,109.0,Megkímélt,417.0,Kombi,5.0,Sötétszürke (metál),1560.0,Első kerék,Manuális,5.0,,5.0
22076860,1490000.0,,AUDI,A6,2005.42,341000.0,Dízel,132.0,179.0,Normál,565.0,Kombi,5.0,Ezüst (metál),2698.0,Első kerék,Manuális,6.0,,7.1
22060167,1490000.0,,MERCEDES-BENZ,W-OSZTÁLY W 123,1982.92,162000.0,Benzin,100.0,136.0,Normál,,Sedan,,Kék,2300.0,Hátsó kerék,Manuális,4.0,,
22059255,1490000.0,,LANCIA,MUSA,2011.75,150358.0,Benzin,57.0,77.0,Megkímélt,320.0,Egyterű,5.0,Fekete,1368.0,Első kerék,Manuális,5.0,,6.2
22129979,1490000.0,,FORD,C-MAX,2011.0,339000.0,Dízel,85.0,116.0,Kitűnő,471.0,Egyterű,5.0,Szürke,1560.0,Első kerék,Manuális,6.0,,4.3
22151719,1495000.0,,NISSAN,NOTE,2008.0,176000.0,Benzin,81.0,110.0,Kitűnő,280.0,Egyterű,5.0,Ezüst,1598.0,Első kerék,Manuális,5.0,,6.6
22136885,1499000.0,,HYUNDAI,I30,2011.17,138708.0,Benzin,80.0,109.0,Megkímélt,340.0,Ferdehátú,5.0,Fekete (metál),1396.0,Első kerék,Manuális,5.0,,6.1
