id,price,manufacturer,model,year,kilometers,fuel_type,kw,condition,trunk_capacity,body_type,seats,color,engine_capacity,drive_type,transmission_type,number_of_gears,km_imputed,metallic
22051295,39900000.0,PORSCHE,BOXSTER,2021.5,29000.0,Benzin,309.0,Újszerű,270.0,Cabrio,2.0,Kék,3995.0,Hátsó kerék,Automata,7.0,0,0
22189050,39900000.0,MERCEDES-BENZ,S-OSZTÁLY S 400,2022.17,27210.0,Dízel,243.0,Kitűnő,540.0,Sedan,5.0,Fekete,2925.0,Összkerék,Automata tiptronic,9.0,0,0
20632764,39900000.0,BMW,M SOROZAT M5,2023.17,21400.0,Benzin,460.0,Újszerű,530.0,Sedan,5.0,Fehér,4395.0,Összkerék,Automata tiptronic,8.0,0,0
22188166,39990000.0,MERCEDES-AMG,GLE GLE 63,2021.67,52470.0,Benzin,450.0,Normál,551.0,Terepjáró,5.0,Fekete,3982.0,Összkerék,Automata,9.0,0,0
22189086,39999000.0,LAND ROVER,RANGE ROVER SPORT,2022.17,8500.0,Benzin,386.0,Kitűnő,623.0,Terepjáró,7.0,Fekete,4999.0,Összkerék,Automata tiptronic,8.0,0,0
22185479,39999000.0,BMW,M SOROZAT M3,2025.0,6100.0,Benzin,390.0,Újszerű,500.0,Kombi,5.0,Szürke,2993.0,Összkerék,Automata tiptronic,8.0,0,1
22185575,39999999.0,MERCEDES-AMG,GT,2022.25,34200.0,Benzin,320.0,Kitűnő,456.0,Coupe,4.0,Óceánkék,2999.0,Összkerék,Automata tiptronic,9.0,0,0
22194403,40000000.0,BMW,X SOROZAT X6,2025.08,10000.0,Dízel,259.0,Újszerű,580.0,Városi terepjáró (crossover),5.0,Unknown,2993.0,Összkerék,Automata tiptronic,8.0,0,0
22183555,41190000.0,BMW,X SOROZAT X5,2025.17,18900.0,Dízel,219.0,Újszerű,650.0,Városi terepjáró (crossover),5.0,Szürke,2993.0,Összkerék,Automata tiptronic,8.0,0,0
22178599,41355000.0,MERCEDES-BENZ,GLS-OSZTÁLY GLS 580,2020.17,10000.0,Benzin,360.0,Újszerű,355.0,Városi terepjáró (crossover),7.0,Ezüst,3982.0,Összkerék,Automata tiptronic,9.0,0,1
22180016,46026870.0,MERCEDES-BENZ,GLE-OSZTÁLY,2025.5,10.0,Dízel,270.0,Kitűnő,655.0,Városi terepjáró (crossover),5.0,Unknown,2989.0,Összkerék,Automata tiptronic,9.0,0,0
22192366,46800000.0,MERCEDES-BENZ,GLE-OSZTÁLY GLE 450,2025.5,20.0,Dízel,270.0,Kitűnő,630.0,Városi terepjáró (crossover),5.0,Fekete,2989.0,Összkerék,Automata tiptronic,9.0,1,0
22180263,46602180.0,MERCEDES-BENZ,GLE-OSZTÁLY,2025.5,10.0,Dízel,270.0,Kitűnő,655.0,Városi terepjáró (crossover),5.0,Unknown,2989.0,Összkerék,Automata tiptronic,9.0,0,0
22178028,44865330.0,MERCEDES-BENZ,E-OSZTÁLY E 450,2025.0,3.0,Dízel,270.0,Kitűnő,540.0,Sedan,5.0,Szürke,2989.0,Összkerék,Automata tiptronic,9.0,0,1
22180349,46336750.0,MERCEDES-BENZ,GLE-OSZTÁLY,2025.5,10.0,Dízel,270.0,Kitűnő,655.0,Városi terepjáró (crossover),5.0,Unknown,2989.0,Összkerék,Automata tiptronic,9.0,0,0
22184838,41890000.0,BMW,X SOROZAT X6,2025.17,10500.0,Dízel,219.0,Újszerű,580.0,Városi terepjáró (crossover),5.0,Fekete,2993.0,Összkerék,Automata tiptronic,8.0,0,0
22191967,41999900.0,CHEVROLET,CORVETTE,2022.42,53000.0,Benzin,354.0,Kitűnő,302.0,Cabrio,2.0,Barna,6162.0,Hátsó kerék,Automata,8.0,0,1
22180421,46979370.0,MERCEDES-BENZ,GLE-OSZTÁLY,2025.5,10.0,Dízel,270.0,Kitűnő,655.0,Városi terepjáró (crossover),5.0,Unknown,2989.0,Összkerék,Automata tiptronic,9.0,0,0
22181680,42290000.0,BMW,X SOROZAT X6,2025.17,9100.0,Dízel,259.0,Újszerű,580.0,Városi terepjáró (crossover),5.0,Fekete,2993.0,Összkerék,Automata tiptronic,8.0,0,0
21577335,42414000.0,ALPINE,A110,2025.0,5.0,Benzin,221.0,Kitűnő,196.0,Coupe,2.0,Unknown,1798.0,Hátsó kerék,Unknown,5.0,0,0
