id,price,manufacturer,model,year,kilometers,fuel_type,kw,condition,trunk_capacity,body_type,seats,color,engine_capacity,drive_type,transmission_type,number_of_gears,km_imputed,metallic
22106860,6400000.0,MITSUBISHI,OUTLANDER,2019.42,246000.0,Unknown,99.0,Kitűnő,463.0,Városi terepjáró (crossover),5.0,Fehér,2360.0,Összkerék,Fokozatmentes automata,0.0,0,0
22095846,6400000.0,AUDI,Q7,2016.0,424000.0,Dízel,200.0,Kitűnő,295.0,Városi terepjáró (crossover),7.0,Unknown,2967.0,Összkerék,Automata tiptronic,8.0,0,0
22079152,6400000.0,VOLKSWAGEN,TRANSPORTER TRANSPORTER T5,2010.25,295000.0,Dízel,103.0,Megkímélt,1410.0,Kisbusz,9.0,Unknown,1968.0,Első kerék,Manuális,6.0,0,0
22151865,6430000.0,TOYOTA,LAND CRUISER,2005.17,189000.0,Dízel,122.0,Kitűnő,535.0,Terepjáró,8.0,Fekete,1968.0,Állandó összkerék,Automata,5.0,0,0
22156639,6450000.0,SUZUKI,VITARA,2021.25,134000.0,Benzin,95.0,Normál,375.0,Városi terepjáró (crossover),5.0,Szürke,1373.0,Összkerék,Manuális,6.0,0,0
22126496,6450000.0,AUDI,A3,2017.08,97992.0,Hibrid-Benzin,150.0,Újszerű,280.0,Ferdehátú,5.0,Unknown,1395.0,Első kerék,Unknown,5.0,0,0
22118896,6450000.0,MERCEDES-BENZ,E-OSZTÁLY E 350,2011.83,233000.0,Dízel,170.0,Megkímélt,300.0,Cabrio,4.0,Unknown,2987.0,Hátsó kerék,Automata tiptronic,7.0,0,0
21922198,6450000.0,VOLKSWAGEN,PASSAT PASSAT VIII,2019.5,163400.0,Dízel,110.0,Kitűnő,586.0,Sedan,5.0,Fekete,1968.0,Első kerék,Manuális,6.0,0,1
21850879,6450000.0,DACIA,JOGGER,2022.58,67000.0,Benzin,81.0,Kitűnő,160.0,Kombi,7.0,Sötétszürke,999.0,Első kerék,Manuális,6.0,0,0
22177411,6450000.0,OPEL,COMBO,2021.08,56000.0,Benzin,81.0,Kitűnő,597.0,Egyterű,5.0,Sötétkék,1199.0,Első kerék,Manuális,6.0,0,0
22080790,6490000.0,AUDI,Q7,2012.58,217000.0,Dízel,250.0,Megkímélt,775.0,Városi terepjáró (crossover),5.0,Fekete,4134.0,Összkerék,Automata tiptronic,8.0,0,1
22172421,6490000.0,TOYOTA,COROLLA,2021.08,190000.0,Benzin,72.0,Normál,471.0,Sedan,5.0,Fehér,1798.0,Első kerék,Fokozatmentes automata,0.0,0,0
22164865,6490000.0,MERCEDES-BENZ,C-OSZTÁLY C 220,2015.5,258000.0,Dízel,125.0,Normál,475.0,Sedan,5.0,Ezüst,2143.0,Hátsó kerék,Automata tiptronic,7.0,0,1
22155345,6490000.0,BMW,5-ÖS SOROZAT 525,2014.58,177500.0,Dízel,160.0,Kitűnő,520.0,Sedan,5.0,Unknown,1995.0,Összkerék,Automata tiptronic,8.0,0,0
22143563,6490000.0,BMW,5-ÖS SOROZAT 535,2013.58,300000.0,Dízel,230.0,Újszerű,485.0,Sedan,5.0,Unknown,3000.0,Hátsó kerék,Automata,8.0,0,0
22124507,6490000.0,TOYOTA,AVENSIS,2016.42,146000.0,Benzin,108.0,Normál,528.0,Kombi,5.0,Unknown,1798.0,Első kerék,Fokozatmentes automata,0.0,0,0
22092717,6490000.0,VOLKSWAGEN,GOLF GOLF VII,2015.25,202600.0,Dízel,135.0,Sérülésmentes,445.0,Coupe,4.0,Szürke,1968.0,Első kerék,Automata,6.0,0,0
21998261,6490000.0,MERCEDES-BENZ,C-OSZTÁLY C 220,2017.83,352000.0,Dízel,125.0,Megkímélt,480.0,Kombi,5.0,Ezüst,2143.0,Összkerék,Automata tiptronic,9.0,0,0
21959261,6490000.0,MERCEDES-BENZ,E-OSZTÁLY E 220,2014.42,135000.0,Dízel,125.0,Megkímélt,450.0,Coupe,4.0,Fehér,2143.0,Hátsó kerék,Automata,7.0,0,1
21892129,6490000.0,LEXUS,IS,2015.17,168000.0,Benzin,133.0,Megkímélt,485.0,Sedan,5.0,Kék,2494.0,Unknown,Fokozatmentes automata,0.0,0,0
21800088,6490000.0,AUDI,S4,2007.83,249000.0,Benzin,253.0,Kitűnő,460.0,Cabrio,5.0,Unknown,4163.0,Összkerék,Manuális,6.0,0,0
22163133,6499000.0,FORD,MONDEO,2020.5,161000.0,Dízel,110.0,Kitűnő,550.0,Sedan,5.0,Sötétszürke,1997.0,Első kerék,Manuális,6.0,0,0
