id,price,manufacturer,model,year,kilometers,fuel_type,kw,condition,trunk_capacity,body_type,seats,color,engine_capacity,drive_type,transmission_type,number_of_gears,km_imputed,metallic
22193172,4250000.0,NISSAN,JUKE,2015.5,105000.0,Dízel,81.0,Kitűnő,354.0,Városi terepjáró (crossover),5.0,Fekete,1461.0,Első kerék,Manuális,6.0,0,0
22191343,4250000.0,SKODA,SCALA,2022.42,190000.0,Benzin,81.0,Sérülésmentes,467.0,Ferdehátú,5.0,Kék,999.0,Első kerék,Manuális,6.0,0,0
22189432,4270000.0,FIAT,500,2019.75,95775.0,Benzin,51.0,Kitűnő,185.0,Ferdehátú,4.0,Óceánkék,1242.0,Első kerék,Automata,6.0,0,1
22183324,4279000.0,HYUNDAI,I30,2021.17,174998.0,Dízel,85.0,Megkímélt,602.0,Kombi,5.0,Fehér,1598.0,Első kerék,Manuális,6.0,0,0
22193948,4280000.0,VOLKSWAGEN,PASSAT PASSAT VII,2012.42,124000.0,Dízel,103.0,Sérülésmentes,603.0,Kombi,5.0,Sötétszürke,1968.0,Első kerék,Manuális,6.0,0,1
22186040,3900000.0,MERCEDES-BENZ,ML-OSZTÁLY ML 350,2010.83,265000.0,Dízel,165.0,Megkímélt,500.0,Városi terepjáró (crossover),5.0,Fekete,2987.0,Összkerék,Automata tiptronic,7.0,0,1
22176278,4100000.0,OPEL,ASTRA ASTRA K,2017.0,110000.0,Benzin,110.0,Kitűnő,370.0,Ferdehátú,5.0,Piros,1399.0,Első kerék,Manuális,6.0,0,0
21963358,4149000.0,SKODA,OCTAVIA,2020.17,199000.0,Dízel,85.0,Kitűnő,610.0,Kombi,5.0,Óceánkék,1598.0,Első kerék,Manuális,5.0,0,1
22169747,4389000.0,PEUGEOT,2008,2019.75,200000.0,Dízel,81.0,Kitűnő,405.0,Városi terepjáró (crossover),5.0,Piros,1499.0,Első kerék,Manuális,6.0,0,1
22168348,3900000.0,FORD,FOCUS,2016.0,220000.0,Dízel,136.0,Normál,490.0,Kombi,5.0,Ezüst,1997.0,Első kerék,Manuális,6.0,0,0
22180775,3990000.0,TOYOTA,COROLLA,2014.25,153511.0,Benzin,97.0,Megkímélt,452.0,Sedan,5.0,Ezüst,1598.0,Első kerék,Fokozatmentes automata,0.0,0,0
22175548,3990000.0,VOLKSWAGEN,SCIROCCO,2013.0,290000.0,Dízel,125.0,Megkímélt,292.0,Coupe,4.0,Kék,1968.0,Első kerék,Automata,6.0,0,0
22193030,4049000.0,HYUNDAI,I10,2020.42,59988.0,Benzin,49.0,Újszerű,350.0,Ferdehátú,5.0,Törtfehér,998.0,Első kerék,Manuális,5.0,0,0
22181861,4280000.0,TOYOTA,VERSO,2013.83,210715.0,Benzin,108.0,Sérülésmentes,155.0,Egyterű,5.0,Szürke,1798.0,Első kerék,Manuális,6.0,0,1
22189246,4280000.0,OPEL,ASTRA ASTRA K,2021.75,97000.0,Benzin,81.0,Megkímélt,350.0,Ferdehátú,5.0,Fekete,1199.0,Első kerék,Manuális,6.0,0,0
